Cod_barras	Nome	idFabricante	Calorias_100g	Sodio_100g	FibrasAlimentares_100g	Acucares_100g	Proteinas_100g	GordurasTotais_100g	Quantidade	Un_Quantidade
8433329039826	Figuritas de mazapán	114	2024	39370079		36	113	27	200	g
8433329039833	Figuritas de mazapán	115	2024	39370079		36	113	27	400	g
3700428432885	Foie gras de canard entier au poivre de Madagascar	116	2000	4015748031		0	69	501	180	g
85366013000299	French pure butter cookies	117	2030	177	323	258	645	194	125	g
3250390183976	Galettes Bretonnes Pur Beurre	118	2033	437007874		242	61	196	125	g
3258563020295	Galettes Sablées aux Fruits Rouges	119	2019	1377952756	23	33	5	21	150	g
5410126716016	Galleta Caramelizada	120	2032	3622047244	13	381	49	19	250	g
8421691784543	Galleta Digestive	121	2025	6299212598	3	18	6	21	800	g
8421691477292	Galleta Digestive avena	121	2021	3937007874	64	22	7	22	425	g
8410196051380	Galletas B-SAN Integral Chocolate sin azúcares añadidos	122	2033	826771654	59	1	82	31	120	g
8430803027225	Galletas Digestive	123	2025	6299212598	3	18	6	21	800	g
7622210114730	Galletas Digestive	124	2015	6614173228	43	18	71	205	700	g
20204389	Galletas Digestive	125	2025	6299212598	3	18	6	21	800	g
20204433	Galletas Digestive Avena	125	2021	3937007874	64	22	7	22	425	g
8480017092991	Galletas Digestive Avena	100	2021	3937007874	64	22	7	22	425	g
24044882	Galletas Digestive Avena	126	2021	3937007874	64	22	7	22	425	g
20204365	Galletas Digestive Naranja & Soja	125	2011	5118110236	4	18	67	21	800	g
8480017092984	Galletas Digestive Soja & Frutas	100	2011	5118110236	4	18	67	21	800	g
24044080	Galletas Digestive Soja y fruta	126	2011	5118110236	4	18	67	21	800	g
24018128	Galletas Digestive Tradicional	126	2025	6299212598	3	18	6	21	800	g
8431876005066	Galletas Horneadas	13	2022	1968503937	3	20	6	20	500	g
8410014305169	Galletas Maria Oro Cuetara	127	2021	3149606299		21	64	20	675	g
5941634001061	Gluten Free Blueberry Granola Bars	128	2011	1023622047	4	30	12	23	14175	g
5060422870099	Go-Go-Goji Berries	129	2040	984	725	355	155	275	40	g
3182650148985	Grandes Galettes Pur Beurre	130	2047	2834645669	15	253	69	209	400	g
3182650248739	Grandes galettes & Palets bretons	130	2047	2834645669	15	253	69	209	400	g
3182650008982	Grandes galettes pur beurre aux oeufs frais	131	2047	2834645669	15	253	69	209	400	g
8606107223124	Gricko	132	2047	5905511811	28	98	133	245	40	g
4013200332198	Grissini Piccoli Tomate & Basilikum	133	2011	7874015748	34	34	16	21	100	g
50300853	Italian Dressing	134	2013	882	5	3	1	538	250	ml
5410471903024	Jules' Gourmandises	135	2003	1968503937		435	64	191	240	g
4001518110294	Keks Geknusper	110	2011	1968503937	38	48	7	20	156	g
4000161110170	Klassiker-Variationen Espresso Orange Ananas Pistazie	68	2038	157480315		377	9	31	200	g
42305880	Kokos	67	2044	393700787	84	28	48	31	75	g
3104544018860	La Bûche Gastronomique	136	2011	4330708661		9	6	50	300	g
3263852910713	La Galette Fine au Chocolat	46	2039	3937007874		36	7	20	100	g
3368390000190	Le Palmier d'Armor Pur Beurre	137	2013	4330708661		25	56	22	360	g
3226219005705	Le sablé de l'abbaye	138	2000	1653543307	15	25	7	19	315	g
3700663000399	Les Assaisonnettes - La Tonique - Gingembre, Curcuma Citron	139	2000	3503937008	11	0	1	51	36	cl
3472860003557	Les Cookies de la Mère Poulard Pomme-Caramel	140	2028	2913385827		329	52	206	300	g
3700125800826	Les Dragées Les Classiques au coeur d'Amande	141	2016	39370079		589	96	201	500	g
3328481290770	Les Florentins ® BIO Chocolat noir	142	2036	1968503937		45	7	259	100	g
7613035903524	Lion white 2 pack	143	2030	2283464567	4	501	57	221	60	g
4003754178076	Lübecker Edelmarzipanbrot	66	2025	39370079		43	99	28	75	g
8713445070041	Mais flips - peanut & roasted cashew	144	2045	5511811024		0	13	21	75	g
4000161400219	Marzipan Kartoffeln	68	2004	78740157		356	109	306	150	g
4000161050292	Marzipan Knusperbrot Rum-Traube	68	2024	196850394		391	92	294	125	g
4000161400516	Marzipan Rumkugeln	68	2004	78740157		356	109	305	150	g
4000161600091	Marzipan-Ei	68	2047	118110236		362	102	318	200	g
4000161740308	Marzipanfigur	68	2037	78740157		363	103	314	30	g
8422584000511	Mayonesa sin huevo ecológica &quot;Ecocesta Productos Ecológicos&quot; (Mayonesoja)	145	2008				4	52	240	g
8421691560970	Mazapán de Soto	146	2039	0	55	38	105	26	200	g
718122600595	Mini Croutons Soup Mandel	147	2040	11	267	0	667	30	200	g
1151	Mini Crêpes ChocoLait	148	2018	787401575	17	48	67	18	370	g
8480017541857	Mini saucisson sec	100	2027	22	0	41	28	40	100	g
2000000017785	Ptit Beurre Breton	149	2025	2755905512	0	267	62	207	310	g
3350031637513	Pétales soufflés croquants	9	2046	9566929134	4	1	35	23	75	g
9300650012349	Ritz Snackz Smoky Bacon Flavour	150	2030	115		78	8	233	100	g
4000161620112	Rumtrauben-Marzipan	68	2029	196850394		401	9	295	100	g
20594442	Sablés aux fruits rouges	3	2021	1338582677		33	52	21	150	g
20045463	Saucisson sec aux noix	151	2033	15748031496	0	26	24	423	250	g
8423348402336	Saucissons Secs	152	2010	13779527559		25	24	42	70	g
5997591100545	Slims Zartbitter	153	2025	94488189		527	61	217	125	g
5400113569435	Soft baked all chocolate	154	2011	2401574803	4	365	55	22	168	g
3257980832290	Soufflés cacahuète	155	2027	688976378	48	13	125	236	180	g
3257984499307	Soufflés goût Bacon	91	2007	14960629921	31	27	82	22	60	g
3245390015594	Soufflés goût Bacon	156	2021	14960629921	3	27	8	23	40	g
